family,shape,params,ms,gflops,occ,wg,golden
regGen,262x1024x2816,BK=16;TM=1;TN=1;sgC=1;sgR=1,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=1;sgC=1;sgR=1,0.433333,3486.918498,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=1;sgC=1;sgR=1,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=1;TN=2;sgC=1;sgR=1,0.533333,2833.121280,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=2;sgC=1;sgR=1,0.566667,2666.467087,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=2;sgC=1;sgR=1,1.100000,1373.634560,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=1;TN=4;sgC=1;sgR=1,0.366667,4120.903680,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=4;sgC=1;sgR=1,0.666667,2266.497024,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=4;sgC=1;sgR=1,1.700000,888.822362,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=1;sgC=1;sgR=1,0.333333,4532.994048,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=1;sgC=1;sgR=1,0.400000,3777.495040,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=1;sgC=1;sgR=1,1.233333,1225.133526,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=2;sgC=1;sgR=1,0.366667,4120.903680,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=2;sgC=1;sgR=1,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=2;sgC=1;sgR=1,1.566667,964.466819,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=4;sgC=1;sgR=1,0.333333,4532.994048,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=4;sgC=1;sgR=1,0.800000,1888.747520,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=4;sgC=1;sgR=1,2.433333,620.958089,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=4;TN=1;sgC=1;sgR=1,0.366667,4120.903680,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=4;TN=1;sgC=1;sgR=1,0.500000,3021.996032,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=4;TN=1;sgC=1;sgR=1,2.300000,656.955659,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=4;TN=2;sgC=1;sgR=1,0.366667,4120.903680,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=4;TN=2;sgC=1;sgR=1,0.700000,2158.568594,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=4;TN=2;sgC=1;sgR=1,2.600000,581.153083,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=4;TN=4;sgC=1;sgR=1,0.466667,3237.852891,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=4;TN=4;sgC=1;sgR=1,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=4;TN=4;sgC=1;sgR=1,2.400000,629.582507,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=8;TN=1;sgC=1;sgR=1,0.466667,3237.852891,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=8;TN=1;sgC=1;sgR=1,2.233333,676.566276,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=8;TN=1;sgC=1;sgR=1,4.133333,365.564036,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=8;TN=2;sgC=1;sgR=1,0.533333,2833.121280,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=8;TN=2;sgC=1;sgR=1,2.633333,573.796715,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=8;TN=2;sgC=1;sgR=1,3.500000,431.713719,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=8;TN=4;sgC=1;sgR=1,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=32;TM=8;TN=4;sgC=1;sgR=1,3.166667,477.157268,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=64;TM=8;TN=4;sgC=1;sgR=1,3.800000,397.631057,maxThreads=1024 execWidth=32 tgMem=0,32,PASS
regGen,262x1024x2816,BK=16;TM=1;TN=1;sgC=2;sgR=1,0.400000,3777.495040,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=1;sgC=2;sgR=1,0.400000,3777.495040,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=1;sgC=2;sgR=1,0.533333,2833.121280,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=1;TN=2;sgC=2;sgR=1,0.300000,5036.660053,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=2;sgC=2;sgR=1,0.466667,3237.852891,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=2;sgC=2;sgR=1,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=1;TN=4;sgC=2;sgR=1,0.400000,3777.495040,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=1;TN=4;sgC=2;sgR=1,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=1;TN=4;sgC=2;sgR=1,1.166667,1295.141157,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=1;sgC=2;sgR=1,0.300000,5036.660053,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=1;sgC=2;sgR=1,0.533333,2833.121280,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=1;sgC=2;sgR=1,0.733333,2060.451840,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=2;sgC=2;sgR=1,0.333333,4532.994048,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=2;sgC=2;sgR=1,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=2;sgC=2;sgR=1,0.966667,1563.101396,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=2;TN=4;sgC=2;sgR=1,0.433333,3486.918498,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=2;TN=4;sgC=2;sgR=1,1.000000,1510.998016,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=2;TN=4;sgC=2;sgR=1,1.333333,1133.248512,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=16;TM=4;TN=1;sgC=2;sgR=1,0.300000,5036.660053,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=32;TM=4;TN=1;sgC=2;sgR=1,0.833333,1813.197619,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
regGen,262x1024x2816,BK=64;TM=4;TN=1;sgC=2;sgR=1,0.900000,1678.886684,maxThreads=1024 execWidth=32 tgMem=0,64,PASS
